date,HDD,CDD,sum
1997.01,659.8,0,659.8
1997.02,485.2,0,485.2
1997.03,346.8,0,346.8
1997.04,151.4,0,151.4
1997.05,41.2,0,41.2
1997.06,1.8,26.6,28.4
1997.07,0,78.8,78.8
1997.08,0,90.5,90.5
1997.09,14.7,8.2,22.9
1997.1,147.1,0,147.1
1997.11,274.8,0,274.8
1997.12,502.6,0,502.6
1998.01,600.1,0,600.1
1998.02,410.2,0,410.2
1998.03,330.8,0,330.8
1998.04,87.8,0,87.8
1998.05,17.6,0.9,18.5
1998.06,9.5,11,20.5
1998.07,0,37,37
1998.08,0,35.7,35.7
1998.09,0.4,19.2,19.6
1998.1,59.1,0,59.1
1998.11,319.9,0,319.9
1998.12,487.5,0,487.5
1999.01,581.6,0,581.6
1999.02,484.6,0,484.6
1999.03,351.6,0,351.6
1999.04,137.5,0,137.5
1999.05,35.4,0,35.4
1999.06,0,14.8,14.8
1999.07,0,61.6,61.6
1999.08,0,71.8,71.8
1999.09,3.2,21.8,25
1999.1,117,0,117
1999.11,303.6,0,303.6
1999.12,545.8,0,545.8
2000.01,621.9,0,621.9
2000.02,570.4,0,570.4
2000.03,361.7,0,361.7
2000.04,183.7,0,183.7
2000.05,42.5,0,42.5
2000.06,0,19.8,19.8
2000.07,0,86.8,86.8
2000.08,0,75,75
2000.09,5.9,4.4,10.3
2000.1,110.3,0,110.3
2000.11,331.4,0,331.4
2000.12,530.7,0,530.7
2001.01,686.9,0,686.9
2001.02,512.1,0,512.1
2001.03,403.4,0,403.4
2001.04,141.2,0,141.2
2001.05,20.9,0.6,21.5
2001.06,0,4.8,4.8
2001.07,0,61.5,61.5
2001.08,0,80.1,80.1
2001.09,2.6,12.7,15.3
2001.1,48.9,0,48.9
2001.11,328.6,0,328.6
2001.12,576.4,0,576.4
2002.01,549.6,0,549.6
2002.02,422.8,0,422.8
2002.03,321.1,0,321.1
2002.04,139.6,0,139.6
2002.05,23.6,0,23.6
2002.06,1.6,8.4,10
2002.07,0,49.1,49.1
2002.08,0,27.9,27.9
2002.09,0,7.1,7.1
2002.1,162.2,0,162.2
2002.11,419.1,0,419.1
2002.12,506.2,0,506.2
2003.01,637.1,0,637.1
2003.02,429.6,0,429.6
2003.03,356.7,0,356.7
2003.04,146.3,0,146.3
2003.05,16.7,1.3,18
2003.06,1.3,2.5,3.8
2003.07,0,20,20
2003.08,0,23.5,23.5
2003.09,0,0,0
2003.1,132.2,0,132.2
2003.11,254.3,0,254.3
2003.12,535.2,0,535.2
2004.01,606.3,0,606.3
2004.02,455.1,0,455.1
2004.03,363.3,0,363.3
2004.04,148.3,0,148.3
2004.05,32.9,0,32.9
2004.06,0,15.3,15.3
2004.07,0,48.1,48.1
2004.08,0,73.6,73.6
2004.09,3.3,4.2,7.5
2004.1,92.9,0,92.9
2004.11,266.7,0,266.7
2004.12,498.6,0,498.6
2005.01,636,0,636
2005.02,558.4,0,558.4
2005.03,429.9,0,429.9
2005.04,149.9,0,149.9
2005.05,43,0,43
2005.06,0,7.6,7.6
2005.07,0,51.9,51.9
2005.08,0.4,53.1,53.5
2005.09,3.3,8.6,11.9
2005.1,106.7,0,106.7
2005.11,283,0,283
2005.12,678.9,0,678.9
2006.01,564.6,0,564.6
2006.02,501.1,0,501.1
2006.03,397.4,0,397.4
2006.04,193.5,0,193.5
2006.05,18.3,0,18.3
2006.06,1.8,3.7,5.5
2006.07,0,14.4,14.4
